source,target,year
Joan Crawford,Frank Borzage,1925
Bessie Love,Adolphe Menjou,1925
Ronald Colman,Ernst Lubitsch,1925
Louise Dresser,Clarence Brown,1925
Richard Barthelmess,Bessie Love,1925
Betty Compson,Wallace Beery,1925
Corinne Griffith,Clark Gable,1925
Alfred Lunt,Edna May Oliver,1925
Lewis Stone,Edna May Oliver,1925
Richard Dix,Edna May Oliver,1925
Irving Cummings,Irving Cummings,1925
Victor McLaglen,Frank Lloyd,1925
Gary Cooper,Carole Lombard,1925
Wallace Beery,Warner Baxter,1925
Frank Morgan,Lynn Fontanne,1925
Gary Cooper,W. S. Van Dyke,1925
Mary Astor,Louise Dresser,1925
Mary Astor,Frank Morgan,1925
Lionel Barrymore,Frank Lloyd,1925
Richard Barthelmess,William Powell,1925
Corinne Griffith,Irving Cummings,1925
Louise Dresser,Victor McLaglen,1925
Richard Barthelmess,Clifton Webb,1925
Emil Jannings,William Dieterle,1926
Greta Garbo,Clarence Brown,1926
Victor McLaglen,J. Carrol Naish,1926
Ronald Colman,William Powell,1926
Ronald Colman,Victor McLaglen,1926
Ronald Colman,Herbert Brenon,1926
William Powell,Victor McLaglen,1926
William Powell,Herbert Brenon,1926
Victor McLaglen,Herbert Brenon,1926
Louise Dresser,Victor Fleming,1926
John Wayne,King Vidor,1926
Warner Baxter,William Powell,1926
Warner Baxter,Nancy Kelly,1926
Warner Baxter,Herbert Brenon,1926
William Powell,Nancy Kelly,1926
William Powell,Herbert Brenon,1926
Nancy Kelly,Herbert Brenon,1926
Greta Garbo,Lionel Barrymore,1926
Charles Chaplin,Ethel Barrymore,1926
Charles Chaplin,Roland Young,1926
Charles Chaplin,Richard Barthelmess,1926
Ethel Barrymore,Roland Young,1926
Ethel Barrymore,Richard Barthelmess,1926
Roland Young,Richard Barthelmess,1926
Gloria Swanson,Nancy Kelly,1926
Warner Baxter,Nancy Kelly,1926
Joan Crawford,William A. Wellman,1926
Janet Gaynor,Clark Gable,1926
Janet Gaynor,Carole Lombard,1926
Janet Gaynor,Irving Cummings,1926
Clark Gable,Carole Lombard,1926
Clark Gable,Irving Cummings,1926
Carole Lombard,Irving Cummings,1926
Ronald Colman,Gary Cooper,1926
Lillian Gish,King Vidor,1926
Janet Gaynor,John Ford,1926
Janet Gaynor,John Ford,1926
Louise Dresser,Michael Curtiz,1926
Norma Shearer,Robert Z. Leonard,1926
Ronald Colman,Clarence Brown,1926
Warner Baxter,William Powell,1926
Warner Baxter,Walter Pidgeon,1926
Gloria Swanson,Lewis Milestone,1926
Bessie Love,Joseph Schildkraut,1926
Bessie Love,Donald Crisp,1926
Joseph Schildkraut,Donald Crisp,1926
Adolphe Menjou,Lewis Milestone,1926
Adolphe Menjou,Sam Wood,1926
Lewis Milestone,Sam Wood,1926
Edna May Oliver,Gregory La Cava,1926
