index,year_ceremony,category,name,film,winner,nconst,birthYear,deathYear,primaryProfession,ceremonyAge,alive,currentYear,currentAge,gender
32209,1997,ACTOR IN A SUPPORTING ROLE,Edward Norton,Primal Fear,False,nm0001570,1969,0,"actor,producer,writer",28,True,2021,52,M
32212,1999,ACTOR IN A LEADING ROLE,Edward Norton,American History X,False,nm0001570,1969,0,"actor,producer,writer",30,True,2021,52,M
32215,2015,ACTOR IN A SUPPORTING ROLE,Edward Norton,Birdman or (The Unexpected Virtue of Ignorance),False,nm0001570,1969,0,"actor,producer,writer",46,True,2021,52,M
32525,1998,ACTOR IN A LEADING ROLE,Matt Damon,Good Will Hunting,False,nm0000354,1970,0,"producer,actor,soundtrack",28,True,2021,51,M
32526,2010,ACTOR IN A SUPPORTING ROLE,Matt Damon,Invictus,False,nm0000354,1970,0,"producer,actor,soundtrack",40,True,2021,51,M
32527,2016,ACTOR IN A LEADING ROLE,Matt Damon,The Martian,False,nm0000354,1970,0,"producer,actor,soundtrack",46,True,2021,51,M
32528,1998,ACTOR IN A LEADING ROLE,Peter Fonda,Ulee's Gold,False,nm0001228,1940,2019,"actor,director,writer",58,False,2021,0,M
32530,1998,ACTOR IN A SUPPORTING ROLE,Robert Forster,Jackie Brown,False,nm0001233,1941,2019,"actor,producer,director",57,False,2021,0,M
32535,1998,ACTOR IN A SUPPORTING ROLE,Greg Kinnear,As Good as It Gets,False,nm0001427,1963,0,"actor,producer,writer",35,True,2021,58,M
32537,1998,ACTOR IN A SUPPORTING ROLE,Burt Reynolds,Boogie Nights,False,nm0000608,1936,2018,"actor,director,producer",62,False,2021,0,M
32682,1999,ACTOR IN A LEADING ROLE,Roberto Benigni,Life Is Beautiful,True,nm0000905,1952,0,"actor,writer,director",47,True,2021,69,M
32684,1999,ACTOR IN A LEADING ROLE,Ian McKellen,Gods and Monsters,False,nm0005212,1939,0,"actor,soundtrack,writer",60,True,2021,82,M
32685,2002,ACTOR IN A SUPPORTING ROLE,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,False,nm0005212,1939,0,"actor,soundtrack,writer",63,True,2021,82,M
32686,1999,ACTOR IN A SUPPORTING ROLE,James Coburn,Affliction,True,nm0000336,1928,2002,"actor,producer,director",71,False,2021,0,M
32807,2000,ACTOR IN A LEADING ROLE,Russell Crowe,The Insider,False,nm0000128,1964,0,"actor,soundtrack,producer",36,True,2021,57,M
32808,2001,ACTOR IN A LEADING ROLE,Russell Crowe,Gladiator,True,nm0000128,1964,0,"actor,soundtrack,producer",37,True,2021,57,M
32809,2002,ACTOR IN A LEADING ROLE,Russell Crowe,A Beautiful Mind,False,nm0000128,1964,0,"actor,soundtrack,producer",38,True,2021,57,M
32810,2000,ACTOR IN A SUPPORTING ROLE,Michael Clarke Duncan,The Green Mile,False,nm0003817,1957,2012,"actor,soundtrack,producer",43,False,2021,0,M
32811,2000,ACTOR IN A SUPPORTING ROLE,Jude Law,The Talented Mr. Ripley,False,nm0000179,1972,0,"actor,producer,soundtrack",28,True,2021,49,M
32813,2004,ACTOR IN A LEADING ROLE,Jude Law,Cold Mountain,False,nm0000179,1972,0,"actor,producer,soundtrack",32,True,2021,49,M
32815,2000,ACTOR IN A SUPPORTING ROLE,Haley Joel Osment,The Sixth Sense,False,nm0005286,1988,0,"actor,soundtrack,producer",12,True,2021,33,M
32974,2001,ACTOR IN A LEADING ROLE,Javier Bardem,Before Night Falls,False,nm0000849,1969,0,"actor,producer,soundtrack",32,True,2021,52,M
32975,2008,ACTOR IN A SUPPORTING ROLE,Javier Bardem,No Country for Old Men,True,nm0000849,1969,0,"actor,producer,soundtrack",39,True,2021,52,M
32976,2011,ACTOR IN A LEADING ROLE,Javier Bardem,Biutiful,False,nm0000849,1969,0,"actor,producer,soundtrack",42,True,2021,52,M
32977,2001,ACTOR IN A SUPPORTING ROLE,Benicio Del Toro,Traffic,True,nm0001125,1967,0,"actor,producer,director",34,True,2021,54,M
32978,2004,ACTOR IN A SUPPORTING ROLE,Benicio Del Toro,21 Grams,False,nm0001125,1967,0,"actor,producer,director",37,True,2021,54,M
32979,2001,ACTOR IN A SUPPORTING ROLE,Joaquin Phoenix,Gladiator,False,nm0001618,1974,0,"actor,producer,soundtrack",27,True,2021,47,M
32980,2006,ACTOR IN A LEADING ROLE,Joaquin Phoenix,Walk the Line,False,nm0001618,1974,0,"actor,producer,soundtrack",32,True,2021,47,M
