index,year_ceremony,category,name,film,winner,nconst,birthYear,deathYear,primaryProfession,ceremonyAge,alive,currentYear,currentAge,gender
5735,1946,ACTRESS IN A SUPPORTING ROLE,Ann Blyth,Mildred Pierce,False,nm0001955,1927,0,"actress,soundtrack",19,True,2021,94,F
5736,1946,ACTRESS IN A SUPPORTING ROLE,Joan Lorring,The Corn Is Green,False,nm0521156,1926,2014,"actress,soundtrack",20,False,2021,0,F
5807,1947,ACTRESS,Celia Johnson,Brief Encounter,False,nm0424743,1908,1982,actress,39,False,2021,0,F
5811,1947,ACTRESS,Jane Wyman,The Yearling,False,nm0943837,1917,2007,"actress,soundtrack,writer",30,False,2021,0,F
5812,1949,ACTRESS,Jane Wyman,Johnny Belinda,True,nm0943837,1917,2007,"actress,soundtrack,writer",32,False,2021,0,F
5813,1952,ACTRESS,Jane Wyman,The Blue Veil,False,nm0943837,1917,2007,"actress,soundtrack,writer",35,False,2021,0,F
5814,1955,ACTRESS,Jane Wyman,Magnificent Obsession,False,nm0943837,1917,2007,"actress,soundtrack,writer",38,False,2021,0,F
5815,1947,ACTRESS IN A SUPPORTING ROLE,Anne Baxter,The Razor's Edge,True,nm0000879,1923,1985,"actress,soundtrack,producer",24,False,2021,0,F
5819,1951,ACTRESS,Anne Baxter,All about Eve,False,nm0000879,1923,1985,"actress,soundtrack,producer",28,False,2021,0,F
5823,1947,ACTRESS IN A SUPPORTING ROLE,Lillian Gish,Duel in the Sun,False,nm0001273,1893,1993,"actress,writer,soundtrack",54,False,2021,0,F
5825,1947,ACTRESS IN A SUPPORTING ROLE,Flora Robson,Saratoga Trunk,False,nm0733460,1902,1984,"actress,soundtrack",45,False,2021,0,F
6007,1948,ACTRESS,Susan Hayward,Smash-Up--The Story of a Woman,False,nm0001333,1917,1975,"actress,soundtrack",31,False,2021,0,F
6014,1950,ACTRESS,Susan Hayward,My Foolish Heart,False,nm0001333,1917,1975,"actress,soundtrack",33,False,2021,0,F
6021,1953,ACTRESS,Susan Hayward,With a Song in My Heart,False,nm0001333,1917,1975,"actress,soundtrack",36,False,2021,0,F
6028,1956,ACTRESS,Susan Hayward,I'll Cry Tomorrow,False,nm0001333,1917,1975,"actress,soundtrack",39,False,2021,0,F
6035,1959,ACTRESS,Susan Hayward,I Want to Live!,True,nm0001333,1917,1975,"actress,soundtrack",42,False,2021,0,F
6042,1948,ACTRESS,Dorothy McGuire,Gentleman's Agreement,False,nm0570192,1916,2001,"actress,soundtrack",32,False,2021,0,F
6044,1948,ACTRESS,Loretta Young,The Farmer's Daughter,True,nm0949835,1913,2000,"actress,soundtrack,producer",35,False,2021,0,F
6049,1950,ACTRESS,Loretta Young,Come to the Stable,False,nm0949835,1913,2000,"actress,soundtrack,producer",37,False,2021,0,F
6054,1948,ACTRESS IN A SUPPORTING ROLE,Gloria Grahame,Crossfire,False,nm0002108,1923,1981,"actress,soundtrack",25,False,2021,0,F
6055,1953,ACTRESS IN A SUPPORTING ROLE,Gloria Grahame,The Bad and the Beautiful,True,nm0002108,1923,1981,"actress,soundtrack",30,False,2021,0,F
6056,1948,ACTRESS IN A SUPPORTING ROLE,Celeste Holm,Gentleman's Agreement,True,nm0002141,1917,2012,"actress,soundtrack,miscellaneous",31,False,2021,0,F
6057,1950,ACTRESS IN A SUPPORTING ROLE,Celeste Holm,Come to the Stable,False,nm0002141,1917,2012,"actress,soundtrack,miscellaneous",33,False,2021,0,F
6058,1951,ACTRESS IN A SUPPORTING ROLE,Celeste Holm,All about Eve,False,nm0002141,1917,2012,"actress,soundtrack,miscellaneous",34,False,2021,0,F
6059,1948,ACTRESS IN A SUPPORTING ROLE,Marjorie Main,The Egg and I,False,nm0537685,1890,1975,"actress,soundtrack",58,False,2021,0,F
6318,1949,ACTRESS IN A SUPPORTING ROLE,Barbara Bel Geddes,I Remember Mama,False,nm0000895,1922,2005,"actress,soundtrack",27,False,2021,0,F
6319,1949,ACTRESS IN A SUPPORTING ROLE,Ellen Corby,I Remember Mama,False,nm0179289,1911,1999,"actress,writer,soundtrack",38,False,2021,0,F
6320,1949,ACTRESS IN A SUPPORTING ROLE,Jean Simmons,Hamlet,False,nm0001739,1929,2010,"actress,soundtrack",20,False,2021,0,F
6323,1970,ACTRESS,Jean Simmons,The Happy Ending,False,nm0001739,1929,2010,"actress,soundtrack",41,False,2021,0,F
6627,1950,ACTRESS,Jeanne Crain,Pinky,False,nm0002022,1925,2003,"actress,soundtrack",25,False,2021,0,F
6628,1950,ACTRESS,Deborah Kerr,"Edward, My Son",False,nm0000039,1921,2007,"actress,soundtrack",29,False,2021,0,F
6630,1954,ACTRESS,Deborah Kerr,From Here to Eternity,False,nm0000039,1921,2007,"actress,soundtrack",33,False,2021,0,F
6632,1957,ACTRESS,Deborah Kerr,The King and I,False,nm0000039,1921,2007,"actress,soundtrack",36,False,2021,0,F
6634,1958,ACTRESS,Deborah Kerr,"Heaven Knows, Mr. Allison",False,nm0000039,1921,2007,"actress,soundtrack",37,False,2021,0,F
6636,1959,ACTRESS,Deborah Kerr,Separate Tables,False,nm0000039,1921,2007,"actress,soundtrack",38,False,2021,0,F
6638,1961,ACTRESS,Deborah Kerr,The Sundowners,False,nm0000039,1921,2007,"actress,soundtrack",40,False,2021,0,F
6640,1950,ACTRESS IN A SUPPORTING ROLE,Elsa Lanchester,Come to the Stable,False,nm0006471,1902,1986,"actress,soundtrack",48,False,2021,0,F
6641,1958,ACTRESS IN A SUPPORTING ROLE,Elsa Lanchester,Witness for the Prosecution,False,nm0006471,1902,1986,"actress,soundtrack",56,False,2021,0,F
6642,1950,ACTRESS IN A SUPPORTING ROLE,Mercedes McCambridge,All the King's Men,True,nm0564790,1916,2004,"actress,soundtrack",34,False,2021,0,F
6643,1957,ACTRESS IN A SUPPORTING ROLE,Mercedes McCambridge,Giant,False,nm0564790,1916,2004,"actress,soundtrack",41,False,2021,0,F
6644,1950,ACTRESS IN A SUPPORTING ROLE,Ethel Waters,Pinky,False,nm0914083,1896,1977,"actress,soundtrack",54,False,2021,0,F
6837,1951,ACTRESS,Judy Holliday,Born Yesterday,True,nm0391062,1921,1965,"actress,soundtrack",30,False,2021,0,F
6838,1951,ACTRESS,Eleanor Parker,Caged,False,nm0662223,1922,2013,"actress,soundtrack",29,False,2021,0,F
6843,1952,ACTRESS,Eleanor Parker,Detective Story,False,nm0662223,1922,2013,"actress,soundtrack",30,False,2021,0,F
6848,1956,ACTRESS,Eleanor Parker,Interrupted Melody,False,nm0662223,1922,2013,"actress,soundtrack",34,False,2021,0,F
6853,1951,ACTRESS IN A SUPPORTING ROLE,Hope Emerson,Caged,False,nm0256216,1897,1960,"actress,soundtrack",54,False,2021,0,F
6854,1951,ACTRESS IN A SUPPORTING ROLE,Josephine Hull,Harvey,True,nm0401449,1877,1957,actress,74,False,2021,0,F
6855,1951,ACTRESS IN A SUPPORTING ROLE,Nancy Olson,Sunset Blvd.,False,nm0647970,1928,0,"actress,soundtrack",23,True,2021,93,F
6860,1951,ACTRESS IN A SUPPORTING ROLE,Thelma Ritter,All about Eve,False,nm0728812,1902,1969,"actress,soundtrack",49,False,2021,0,F
6861,1952,ACTRESS IN A SUPPORTING ROLE,Thelma Ritter,The Mating Season,False,nm0728812,1902,1969,"actress,soundtrack",50,False,2021,0,F
6862,1953,ACTRESS IN A SUPPORTING ROLE,Thelma Ritter,With a Song in My Heart,False,nm0728812,1902,1969,"actress,soundtrack",51,False,2021,0,F
6863,1954,ACTRESS IN A SUPPORTING ROLE,Thelma Ritter,Pickup on South Street,False,nm0728812,1902,1969,"actress,soundtrack",52,False,2021,0,F
